Event,Summary,Month,Year,Day,datetime
First pictures of Mars,The spacecraft Mariner 4 was the first to fly to Mars and the first to transmit pictures of Mars. Mariner 4 spent all of 25 minutes taking 21 photographs of the red planet from distances ranging between 6.200 miles and 10.500 miles above the planet. Those first. blurry images of Mars's craters and barren landscape suggested to some scientists that the planet was similar to our moon and dispelled hope that it had ever held life.,6,1965,14,6/14/1965
Soviets land spacecraft on moon,1966 would prove to be a significant year for the Soviet space program. In February of that year. the USSR would land an unmanned spacecraft called Luna on the moon that sent back transmissions to Earth. Less than a month later. on March 1. the Soviet Union would succeed in landing a spacecraft on Venus. The Venera 3 impacted Venus. the first spacecraft to land on another planet. but the communications systems failed before any data could be retrieved.,2,1966,3,2/3/1966
US lands spacecraft on moon,The United States. still playing catch-up in the space race. landed its first spacecraft. the unmanned Surveyor 1. on the moon in June. The mission was considered a success. and the technology needed to achieve landing and operations on the lunar surface succeeded. Surveyor 1 performed engineering functions and took photos. It sent televised images of the spacecraft's footpad and the lunar surface.,6,1966,2,6/2/1966
Soviet spacecraft first to orbit moon,The Russian spacecraft Zond 5 became the first spacecraft to orbit the moon and return to Earth. Aboard the Zond 5 were turtles. mealworms. seeds. bacteria. and other living things. After the spacecraft landed in the Indian Ocean. all of the biological passengers were safely recovered. The flight was seen as a precursor to manned lunar landing.,9,1968,15,9/15/1968
Apollo 8,"Apollo 8 was among the most famous of America's space missions – the first manned spacecraft to leave Earth's gravity and reach the moon. The mission conducted a number of tests that were crucial to the lunar landing the following year. The crew photographed the lunar surface. both the far side and nearside. as well as Earth. The mission' ""Earthrise"" photo would become among the most famous of the 20th century. The astronauts had six live television transmissions. including the Christmas Eve broadcast in which they read from the book of Genesis. at the time the most-watched TV broadcast ever.",12,1968,25,12/25/1968
Men walk on moon,"American astronauts Neil Armstrong and Buzz Aldrin became the first humans to set foot on a celestial entity other than Earth on July 20. 1969. fulfilling President John F. Kennedy's hope of landing humans on the moon before the end of the decade. Armstrong's quote as he stepped on the lunar surface. ""That's one small step for man. one giant leap for mankind."" has become immortal. It was one of America's proudest moments. witnessed by hundreds of millions of people on television around the world. Armstrong and Aldrin spent two and a half hours on the surface collecting rocks and soil samples and. among other tasks. measuring by laser the exact distance between the moon and Earth. Armstrong and Aldrin were the first of 12 men. all Americans. who have walked on the moon.",7,1969,20,7/20/1969
First space station,The first space station. Salyut 1. launched by the Soviet Union on April 19. 1971. achieved significant progress in humankind's ability to live and work in space. The cylindrical-shaped Salyut 1 was adapted for use with the manned Soyuz spacecraft and was about 65 feet long and 13 feet in diameter at its widest section. Salyut spent 175 days in space before crashing into the Pacific Ocean. The three-man Soviet crew that went aboard Salyut 1 for 23 days later died while returning to Earth when their Soyuz spacecraft accidentally lost its air.,4,1971,19,4/19/1971
US orbits Mars,Mariner 9. an unmanned NASA probe. became the first spacecraft to circle another planet after it completed an orbit around Mars. The photographs sent back from the Mariner 9 showed Mars to have varied geology and weather. according to a NASA summary of the mission. including ancient river beds. extinct volcanoes. canyons. weather fronts. ice clouds. and morning fogs.,11,1971,13,11/13/1971
Russians land on Mars,On May 28. 1972. the Soviet spacecraft Mars 3 made the first soft landing on another planet when it touched down on Mars. Mars 3 had arrived at the red planet the previous December. The landing craft failed after relaying 20 seconds of video data to the orbiter. The orbiter continued to relay data to Soviet scientists until August 1972. measuring surface temperature and atmospheric conditions.,5,1972,28,5/28/1972
Skylab I,The United States launched its first orbiting laboratory. Skylab I. on May 14. 1973. Skylab proved to be a success. despite technical glitches at the start. Skylab orbited the Earth for six years before it deteriorated and fell into the Indian Ocean and western Australia. Skylab hosted three crews of three astronauts who lived on the station for a total of 168 days in orbit. They conducted experiments in biomedical and life sciences and solar astronomy. Skylab also was important in understanding how humans endure extended time in space.,5,1973,14,5/14/1973
US-Soviet astronauts link up in space,Cold War adversaries achieved detente in space in 1975. when U.S. astronauts and Soviet cosmonauts came together for the Apollo-Soyuz Test Project. The Soyuz craft bore cosmonauts Alexei Leonov and Valery Kubasov. while the Apollo carried astronauts Thomas Stafford. Vance Brand. and Donald Slayton. The two spacecraft docked in space for two days. After the vehicles came together. the space travelers shook hands and embraced and exchanged presents. plaques. and flags from their respective nations. The Apollo-Soyuz Test Project was the first mission in which the two nations began cooperating in space.,7,1975,18,7/18/1975
Viking 1 and 2,NASA launched the Viking 1 and 2 spacecraft in 1975. and both landed on Mars the following year. becoming the first U.S. spacecraft to land on the red planet. The photos that the two spacecraft returned to Earth deepened the knowledge about the planet's atmosphere and geology. with a greater understanding of water vapor in the Martian atmosphere. Viking 1 and 2 conducted biology experiments intended to look for signs of life. These experiments provided no indication of living microorganisms near the landing zones.,8,1976,1,8/1/1976
Voyagers I and 2 send back Jupiter images,Voyagers 1 and 2 were launched two weeks apart by NASA in 1977. NASA wanted to take advantage of a unique alignment of planets that happens once every 176 years. Such an alignment could slingshot each spacecraft from one planet to the next. aided by a planet's gravity. Voyager 1 would become the first spacecraft to fly by Jupiter and Saturn. It transmitted its first pictures of Jupiter back to Earth in April 1978. when it was 165 million miles away. Voyager 1 was the first to journey into interstellar space in 2012. Voyager 2 flew past Jupiter. Saturn. Uranus. and Neptune. Since their launch. the spacecraft have been traveling along different flight paths and at different speeds.,8,1977,1,8/1/1977
Space shuttle takes off,NASA's shuttle Columbia became the first winged spaceship to orbit Earth and return to airport landing. Columbia flew 28 missions and spent more than 300 days in space. Its early missions focused on repairing and deploying satellites and telescopes. Later. NASA shifted Columbia's priorities to science. Tragedy struck the shuttle on Feb. 1. 2003. when the spacecraft and crew were lost after the Columbia burned up during reentry. The disaster shut down the shuttle program for more than two years.,4,1981,12,4/12/1981
First US woman into space,Sally Ride became first American woman in space. about 20 years after Soviet cosmonaut Tereshkova became the first woman in space. Ride. who held a doctorate in physics. was selected as one of NASA's first six female astronauts. She entered space aboard the space shuttle Challenger. Ride would make two shuttle flights. Among the tasks she performed in flight were operating the shuttle's robotic arm.,6,1983,18,6/18/1983
Voyager 2 transmits images from Uranus,Voyager 2. launched into orbit with Voyager 1 in 1977. began transmitting images from Uranus in 1986. The massive planet showed some evidence of boiling oceanic water. Voyager 2 also found 10 new moons and two new rings around Uranus. Voyager 2 would become the only spacecraft to study all four of the solar system's outer planets at close range.,1,1986,24,1/24/1986
Voyager 2 transmits images from Neptune,Voyager 2 was built to examine the farthest reaches of the solar system. and this included the planet Neptune. The spacecraft is the only human-made object to have flown to that planet. During its journey. Voyager 2 found five moons and four rings around Neptune. It was discovered that Neptune's largest moon. Triton. was the coldest known planetary body in the solar system. The planet also was more active than previously believed. with winds exceeding 680 miles per hour. Hydrogen was the most common element in the atmosphere.,8,1989,1,8/1/1989
Hubble space telescope,The Hubble space telescope was the first such device placed in space to orbit the Earth – a great leap forward toward our understanding of the cosmos and revolutionized astronomy. The telescope was developed by NASA along with the European Space Agency. The device. named after Edwin Powell Hubble. was placed into orbit by members of the space shuttle Discovery. The telescope is located high above clouds and beyond light pollution and is able to capture high-resolution images of space. The device enables NASA to better observe space shuttles and space walks.,4,1990,25,4/25/1990
Mapping Venus,NASA's Magellan spacecraft began mapping the surface of Venus using radar equipment. The objective of the mission was to study land formations. plate tectonics. and erosion. The spacecraft was also tasked with modeling the interior of Venus. Magellan's mission revealed that Venus showed no evidence of Earth-like plate tectonics. and that 85% of the planet's surface were of volcanic lava flow. with the remainder mountain formations.,8,1990,10,8/10/1990
Discovery of extrasolar planets,"The scientific community made an important announcement on Oct. 6. 1995: Swiss astronomers Didier Queloz and Michel Mayor found the first so-called exoplanet that was orbiting a star like our sun. The exoplanet – so named because it is outside our solar system – was named 51 Pegasi b. also called ""Dimidium."" The planet's surface was hot and gaseous. and it is about half the size of Jupiter. Since then. astronomers have found several thousand extrasolar planets.",10,1995,6,10/6/1995
Galileo probe,NASA's Galileo spacecraft was launched from the space shuttle Atlantis in 1989 and arrived at Jupiter six years later. The spacecraft explored Jupiter and its moons for almost four years. The mission found indications of melted saltwater ocean under an ice layer on Jupiter's moon Europa. It also found evidence of liquid saltwater on two other moons. Galileo's mission ended on Sept. 21. 2003. when it descended into Jupiter's atmosphere.,12,1995,7,12/7/1995
Pathfinder arrives on Mars,The Mars Pathfinder. which arrived on Mars on America's birthday in 1997. was significant in that the mission included the first successful rover on Mars. The rover was called Sojourner. named after Sojourner Truth. An interesting aspect of the mission was NASA's use of a different landing technique for the lander. Instead of using rockets to touch down on the surface. NASA employed airbags. The rover examined rounded pebbles and cobbles at the landing site and the shape of rocks suggested these so-called conglomerates were formed as the result of running water from a past when the weather was warmer. Pathfinder also observed water ice clouds in the lower atmosphere in early morning.,7,1997,4,7/4/1997
International Space Station,The International Space Station. launched in 1998. is a multinational habitable satellite located in the Earth's lower orbit. It is the biggest artificial body in space and at times can be seen with the naked eye. The ISS has played an important role in American and Russian space missions since its launch. Fifteen nations manage and use the ISS. with NASA (United States). Roscosmos (Russia). and the European Space Agency as the major partners who contribute the most funding. The ISS has witnessed many milestones. among them the biggest gathering in space – 13 people – and the longest spacewalk at 8 hours and 56 minutes during a construction mission in 2001 involving astronauts Jim Voss and Susan Helms. Jeanne Crews. a female engineer at NASA. invented a multi-layered shield that is as light but stronger than aluminum and it is still in use on the ISS.,11,1998,20,11/20/1998
Landing on an asteroid,The NEAR Shoemaker was the first spacecraft specifically designed to study an asteroid. In this case. the asteroid was Eros. the closest asteroid to Earth. As NEAR descended onto Eros. it sent back dozens of high-resolution pictures. Even though NEAR was not designed to land on an asteroid. NASA decided to do so. It touched down and sent back data. until its final signal on Feb. 28. 2001.,2,2001,1,2/1/2001
First space tourist,Dennis Tito. a millionaire businessman from California. became the first paying passenger to travel into outer space. opening up the commercialization possibilities of space flight. Tito dropped a cool $20 million for the privilege. He took off off from Kazakhstan for an eight-day trip aboard a Russian Soyuz spacecraft and flew to the International Space Station.,4,2001,28,4/28/2001
Cassini spacecraft sends back images of Saturn's rings,The Cassini mission. a collaborative effort of NASA. the ESA. and the Italian Space Agency. launched on October 1997 and arrived at Saturn about seven years later. Since the spacecraft reached Saturn. Cassini has taken more than 450.000 images of the planet. its famous rings. and its moons. The spacecraft operated for 13 years before plunging into Saturn's atmosphere on Sept. 15. 2017.,7,2004,1,7/1/2004
Mars rover landing,The rover Curiosity is still operating on Mars. It has sent detailed photographs of the Martian landscape. and scientists believe that the red planet likely had an environment that could have supported life a long time ago. According to NASA. the mission has four goals: Determine whether life ever existed on Mars; analyze the Martian climate; study the geology of the planet; and prepare for human exploration.,8,2012,6,8/6/2012
Musk rocket returns to Earth,When he is not pioneering electric car technology. entrepreneur Elon Musk is involved with space travel. In 2016. his 14-year-old SpaceX Falcon 9 rocket made its first landing aboard a drone ship at sea after dropping off cargo to the ISS. It marked the first time Musk's company had been able to achieve a successful ocean landing. Successful landings also means Musk's company can reuse rockets. saving the company money.,4,2016,8,4/8/2016
7 Earth-size planets found,In recent years. astronomers have made many exciting discoveries of planets beyond our solar system. On Feb. 22. 2017. NASA announced the discovery of planetary system Trappist-1. which contains seven Earth-sized planets orbiting a red dwarf star. It is about 40 light years from Earth in the constellation Aquarius. Scientists determined that three of the planets in the system were found in the habitable zone. meaning there is a chance they may have liquid water and an atmosphere that can support life.,2,2017,22,2/22/2017
Probing moon and rings,In the hunt for extraterrestrial life. NASA's Cassini spacecraft mission may have found an interesting possibility beyond the Asteroid Belt. One of Saturn's moons. Enceladus. contains a chemical reaction beneath its icy surface that may suggest it can support life.,4,2017,13,4/13/2017
